Area,Type,Rent,Date,BHK,Sosciety
Narhe,semifurnished,10500,12/09/18,2BHK,Durvankur
Dhayari,Unfurnished,10000,25/01/19,2BHK,Swami
Dhayari,semifurnished,9000,12/09/18,2BHK,Swami
Dhayari,Unfurnished,9000,25/01/19,2BHK,Tamrind
Dhayari,Furnished,11000,25/01/19,2BHK,Swami
Narhe,Unfurnished,9000,12/09/18,2BHK,orchid
Narhe,semifurnished,12000,25/01/19,2BHK,Silver
Koregaopark,Furnished,40000,25/01/19,2BHK,Apartment
Koregaopark,Unfurnished,36000,12/09/18,2BHK,Apartment
Koregaopark,semifurnished,38000,12/09/18,2BHK,Apartment
Koregaopark,semifurnished,18000,25/01/19,1BHK,rahul
Katraj,Unfurnished,11500,12/09/18,2BHK,raj
Katraj,Unfurnished,6000,25/01/19,1rk,Sulochand
Katraj,semifurnished,15000,12/09/18,2BHK,WonderCity
Katraj,Unfurnished,5000,25/01/19,1BHK,KatrajView
Koregaopark,Furnished,26000,12/09/18,1BHK,matri
Koregaopark,Unfurnished,30000,25/01/19,2BHK,Clover
Bibewadi,semifurnished,15000,25/01/19,1BHK,sargam
Bibewadi,Unfurnished,11000,25/01/19,2BHK,Shaker
Bibewadi,Unfurnished,10000,12/09/18,1BHK,sargam
Bibewadi,Unfurnished,9000,25/01/19,1rk,Mahadkar
Bibewadi,Unfurnished,12000,12/09/18,1BHK,mahesh
Bibewadi,Unfurnished,15000,12/09/18,2BHK,mahesh
Bibewadi,Unfurnished,7000,25/01/19,1rk,standalone
Bibewadi,Unfurnished,9000,12/09/18,1BHK,Sadguru
Bibewadi,semifurnished,25000,25/01/19,1BHK,mitra
Koregaopark,Furnished,32000,12/09/18,2BHK,mitra
Koregaopark,semifurnished,29000,25/01/19,2BHK,mitra
Bibewadi,Unfurnished,12000,12/09/18,1BHK,manik
Bibewadi,Unfurnished,17000,25/01/19,2BHK,manik
Bibewadi,semifurnished,20000,12/09/18,2BHK,manik
Bibewadi,Unfurnished,19000,25/01/19,2BHK,Ganesh
Bibewadi,Furnished,22000,12/09/18,2BHK,Ganesh
Dhayari,Unfurnished,10000,25/01/19,2BHK,Ganesh
Dhayari,Unfurnished,8500,12/09/18,2BHK,Swami
